time,mean_spectrum,var_spectrum,enp_spectrum,mean_IQ,var_IQ,KL_spectrum,RMSE_spectrum,CS_spectrum,exceeding_count,time_seq,lable
2242330,21.07313305,25165.29927,24.05337289,0.014188795,2.73E-05,0.322220148,0.038639299,0.777714065,1.619101786,0.979166667,0
2242340,21.49534005,24380.4384,24.05529569,0.013949742,2.72E-05,0.316221758,0.422207009,0.778492256,1.685724107,0.986111111,0
2242349,21.17005883,24680.97282,24.04489906,0.014071,2.64E-05,0.312111395,0.325281222,0.782799431,1.605390179,0.986111111,0
2250000,21.13408451,26082.38771,24.0418656,0.014483017,2.71E-05,0.313532865,0.03597432,0.781554987,1.629770536,1,0
2250010,19.97444614,25769.93397,24.0005664,0.014455978,2.47E-05,0.358172443,1.159638376,0.775211611,1.383958929,1.006944444,0
2250019,20.06381027,25178.22672,23.98485237,0.014221172,2.62E-05,0.313266299,0.08936413,0.78065676,1.403076786,1.006944444,0
2250029,20.05791806,25223.80836,23.97573406,0.014247224,2.58E-05,0.309558296,0.005892203,0.783853925,1.380340179,1.013888889,0
2250040,19.88018663,25377.39641,23.97844286,0.014283742,2.61E-05,0.31028852,0.177731433,0.78355279,1.364216964,1.027777778,0
2250050,19.42460894,26784.71527,23.96765673,0.014585552,2.98E-05,0.323672513,0.455577692,0.775991133,1.262294643,1.034722222,0
2250100,20.2501124,25142.90892,23.97714089,0.014217785,2.60E-05,0.335881158,0.825503463,0.771193882,1.424823214,1.041666667,0
2250110,19.9129981,26812.69806,23.99057111,0.014721439,2.62E-05,0.319394305,0.337114301,0.776284114,1.356086607,1.048611111,0
2250120,20.18973677,25057.62718,23.99553927,0.014188101,2.61E-05,0.3176191,0.276738674,0.778455272,1.402998214,1.055555556,0
2250130,19.42254761,27744.59182,24.04596595,0.01503067,2.52E-05,0.338095416,0.767189167,0.753814698,1.361985714,1.0625,0
2250140,19.90339477,26111.71807,24.01872093,0.014512549,2.61E-05,0.321295495,0.480847166,0.773496207,1.389361607,1.069444444,0
2250150,19.92010278,24753.2784,23.97702791,0.014104391,2.56E-05,0.323722137,0.016708007,0.777196688,1.256953571,1.076388889,0
2250159,20.36985998,24890.9766,23.97159911,0.014012092,2.96E-05,0.335578961,0.449757194,0.779931075,1.369440179,1.076388889,0
2250210,20.20767431,26282.19491,23.99411338,0.014522022,2.74E-05,0.325504197,0.162185667,0.76924785,1.380403571,1.090277778,0
2250220,19.94076319,28184.39516,23.97660967,0.015015277,2.97E-05,0.314969645,0.266911117,0.778839213,1.334564286,1.097222222,0
2250230,20.7179233,26640.99501,23.95106094,0.014611903,2.82E-05,0.322180122,0.777160109,0.772665643,1.456883036,1.104166667,0
2250240,20.25144242,28176.43228,23.92183883,0.014875101,3.40E-05,0.333513615,0.466480884,0.762652476,1.345928571,1.111111111,0
2250250,20.17986636,28574.54042,23.91322302,0.015147344,2.93E-05,0.328151818,0.071576055,0.766765729,1.335808036,1.118055556,0
2250300,20.19790731,28165.29691,23.88709332,0.0149894,3.04E-05,0.314907381,0.018040952,0.78122457,1.282591964,1.125,0
2250310,19.99349668,29668.42989,23.90759256,0.01538257,3.18E-05,0.317115353,0.204410635,0.775583591,1.315938393,1.131944444,0
2250320,20.47661963,26693.18522,23.92204527,0.014631003,2.80E-05,0.322728318,0.483122951,0.768560375,1.400892857,1.138888889,0
2250330,20.37129678,27005.14508,23.92265522,0.014711843,2.84E-05,0.308262084,0.105322846,0.784989014,1.3683875,1.145833333,0
2250340,19.99473045,28685.6516,23.94345714,0.015136423,3.06E-05,0.318132312,0.376566326,0.777144072,1.312814286,1.152777778,0
2250350,20.1575375,28949.55612,23.92243911,0.015242523,2.98E-05,0.325128141,0.162807047,0.761411024,1.295757143,1.159722222,0
2250359,20.21171433,28399.46313,23.94627166,0.015115668,2.87E-05,0.32377498,0.054176831,0.764888398,1.385766964,1.159722222,0
2250410,19.79182703,28235.19109,23.91983518,0.014874836,3.43E-05,0.343819302,0.4198873,0.760248821,1.270917857,1.173611111,0
2250420,20.49926323,27662.18001,23.89836221,0.014811541,3.14E-05,0.331481279,0.707436194,0.773495852,1.357876786,1.180555556,0
2250430,20.44905873,27427.85922,23.91804601,0.014793456,2.98E-05,0.31321842,0.050204502,0.781020829,1.396471429,1.1875,0
2250440,20.36501417,27154.22646,23.95888728,0.014723364,2.94E-05,0.31081247,0.084044556,0.781537527,1.368567857,1.194444444,0
2250450,20.40520465,30686.40426,23.9928799,0.015741896,2.99E-05,0.321144006,0.040190483,0.76806454,1.418273214,1.201388889,0
2250500,20.9721304,26120.20787,23.99960311,0.014354089,3.11E-05,0.360984182,0.566925746,0.751923721,1.506711607,1.208333333,0
2250510,21.03680375,29467.13571,23.97307272,0.015370733,3.08E-05,0.321370814,0.064673348,0.771008933,1.54425625,1.215277778,0
2250520,21.23877874,27333.73737,23.93636485,0.014534755,3.68E-05,0.328932919,0.201974999,0.761260494,1.502639286,1.222222222,0
2250530,20.86968903,26226.05611,23.96057794,0.014195358,3.65E-05,0.313285247,0.369089718,0.781766692,1.553077679,1.229166667,0
2250540,20.8414649,27002.66471,23.68622696,0.014406245,3.74E-05,0.479422898,0.02822413,0.766708828,1.735708036,1.236111111,0
2250550,19.38572049,30109.66137,23.70247751,0.015125927,4.34E-05,0.393004301,1.455744408,0.730134662,1.445432143,1.243055556,0
2250600,21.03569421,28163.03333,23.65655179,0.014786789,3.68E-05,0.475783204,1.64997372,0.732311793,1.705426786,1.25,0
2250610,20.88095267,28340.2652,23.66352224,0.014840877,3.67E-05,0.317037662,0.154741543,0.777001729,1.677488393,1.256944444,0
2250620,20.92839954,28691.51282,23.68488392,0.014915436,3.76E-05,0.315958243,0.047446874,0.782523224,1.734305357,1.263888889,0
2250630,20.75567687,29803.32574,23.67644598,0.015203948,3.88E-05,0.313701339,0.172722667,0.780727267,1.664623214,1.270833333,0
2250640,21.16560138,28418.57892,23.68069193,0.014869678,3.66E-05,0.31783374,0.409924506,0.779318481,1.716071429,1.277777778,0
2250650,20.64601132,28450.62044,23.68806959,0.014883665,3.63E-05,0.315183301,0.51959006,0.782617521,1.762036607,1.284722222,0
2250700,20.52295609,26183.81957,23.69330176,0.014204664,3.58E-05,0.316416516,0.123055229,0.781321467,1.767078571,1.291666667,0
2250710,19.81216854,27953.82087,23.65277212,0.014666375,3.80E-05,0.32490877,0.710787547,0.776325662,1.683201786,1.298611111,0
2250720,20.67111949,28811.29609,23.62340281,0.014909121,3.88E-05,0.323547451,0.858950951,0.775122549,1.651701786,1.305555556,0
2250730,20.1861997,28158.54921,23.68459239,0.014789034,3.63E-05,0.325705419,0.484919793,0.768580263,1.683925893,1.3125,0
2250740,20.37397946,27470.01997,23.63953111,0.014492663,3.89E-05,0.319307136,0.187779763,0.775554395,1.686566964,1.319444444,0
2250750,20.39123237,26733.74102,23.70645975,0.014277926,3.85E-05,0.315270713,0.017252902,0.781461296,1.722838393,1.326388889,0
2250800,20.92877045,27636.63494,23.75895372,0.014542433,3.92E-05,0.315225235,0.53753808,0.781770449,1.701000893,1.333333333,0
2250810,20.43140522,30944.95281,23.89562116,0.015504708,3.96E-05,0.366794948,0.49736523,0.708567033,1.6910375,1.340277778,0
2250820,21.39309599,25684.25994,23.85271953,0.014017951,3.69E-05,0.366512173,0.961690772,0.703721895,1.701294643,1.347222222,0
2250830,21.96822662,27845.50449,23.83799617,0.014655706,3.81E-05,0.318623944,0.575130631,0.782277364,1.754963393,1.354166667,0
2250840,21.44822116,26161.95513,23.86875945,0.014167824,3.70E-05,0.319869679,0.520005456,0.781701188,1.715900893,1.361111111,0
2250850,21.51393599,26700.96715,23.84947983,0.014331521,3.71E-05,0.318040567,0.065714829,0.780572867,1.673163393,1.368055556,0
2250900,22.2906253,28190.89007,23.80342822,0.014723114,3.94E-05,0.326242796,0.776689309,0.775733171,1.828860714,1.375,0
2250910,22.48192572,30539.32893,23.76157699,0.015463542,3.81E-05,0.317482077,0.19130042,0.775426818,1.796325,1.381944444,0
2250920,22.3297997,31096.9276,23.72006462,0.015520034,4.12E-05,0.321655571,0.152126019,0.778395133,1.63898125,1.388888889,0
2250930,22.2026913,30515.42283,23.76923582,0.015459374,3.79E-05,0.32821945,0.127108399,0.775625834,1.74570625,1.395833333,0
2250940,21.37227989,28971.14351,23.81027802,0.014951023,3.92E-05,0.324229399,0.830411412,0.775543242,1.600871429,1.402777778,0
2250950,21.60670268,26956.36901,23.846261,0.014474252,3.53E-05,0.321648738,0.234422789,0.774695514,1.720545536,1.409722222,0
2251000,21.9409418,27376.05072,23.87457977,0.014533987,3.75E-05,0.318777935,0.334239119,0.780380921,1.779485714,1.416666667,0
2251009,22.3678966,30425.8774,23.73895824,0.015387105,3.94E-05,0.31879696,0.426954799,0.782323867,1.733246429,1.416666667,0
2251020,21.66172324,27683.31354,23.83515637,0.014603211,3.81E-05,0.323813169,0.706173363,0.779868589,1.689841964,1.430555556,0
2251030,20.64332751,30710.23279,23.7641445,0.015247362,4.55E-05,0.379359925,1.018395728,0.7423063,1.342978571,1.4375,0
2251040,21.40926972,27520.11648,23.81217402,0.014532442,3.86E-05,0.406817345,0.765942209,0.75116591,1.736013393,1.444444444,0
2251050,20.82631375,31273.1643,23.72631602,0.015353218,4.74E-05,0.35681143,0.582955969,0.754042701,1.563748214,1.451388889,0
2251100,21.84737703,30121.14572,23.7037929,0.015234094,4.11E-05,0.412659066,1.021063284,0.745922438,1.744626786,1.458333333,0
2251110,21.73017488,33384.84927,23.66885854,0.015989009,4.66E-05,0.333610147,0.117202154,0.765796473,1.698703571,1.465277778,0
2251120,21.98960727,33495.35498,23.63402274,0.016051921,4.57E-05,0.315652754,0.259432395,0.781299029,1.70781875,1.472222222,0
2251129,22.65145989,35351.77671,23.53975892,0.016610258,4.43E-05,0.328390413,0.661852614,0.764185677,1.752794643,1.472222222,0
2251140,22.48683543,37167.80929,23.50476396,0.016958483,4.88E-05,0.326717925,0.164624455,0.767180607,1.693269643,1.486111111,0
